blocknum,suburb,total_jobs,Total_fulltime_jobs,Total_parttime_jobs
1301,"Redfern, Erskineville and Macdonaldtown",20284,18068,2216
863,Camperdown,10922,10289,633
49,"Sydney CBD",11786,9933,1853
83,"Sydney CBD",9917,9075,842
78,"Sydney CBD",9240,7391,1849
54,"Sydney CBD",8714,7136,1578
89,"Sydney CBD",8883,6895,1988
68,"Sydney CBD",7396,6805,591
113,"Sydney CBD",7756,6548,1208
77,"Sydney CBD",8800,6238,2562
161,"Sydney CBD",6647,6124,523
26,"Sydney CBD",6028,5809,219
55,"Sydney CBD",6818,5690,1128
67,"Sydney CBD",6808,5664,1144
39,"Sydney CBD",6011,5629,382
90,"Sydney CBD",6297,5620,677
34,"Sydney CBD",6078,5586,492
11,"Sydney CBD",5866,5294,572
40,"Sydney CBD",5339,5155,184
58,"Sydney CBD",5258,4576,682
73,"Sydney CBD",4918,4411,507
43,"Sydney CBD",4522,4182,340
45,"Sydney CBD",4928,4129,799
48,"Sydney CBD",4403,4046,357
61,"Sydney CBD",4344,4000,344
234,"Sydney CBD",4275,3923,352
31,"Sydney CBD",4267,3893,374
126,"Sydney CBD",5781,3743,2038
29,"Sydney CBD",4198,3727,471
66,"Sydney CBD",4111,3709,402
46,"Sydney CBD",4078,3635,443
71,"Sydney CBD",3627,3287,340
130,"Sydney CBD",3519,3280,239
75,"Sydney CBD",3727,3229,498
76,"Sydney CBD",4169,3216,953
124,"Sydney CBD",3678,3197,481
890,Camperdown,3278,3113,165
87,"Sydney CBD",3505,3019,486
41,"Sydney CBD",3331,2999,332
181,"Sydney CBD",3173,2897,276
96,"Sydney CBD",3393,2890,503
44,"Sydney CBD",3323,2815,508
62,"Sydney CBD",3002,2810,192
53,"Sydney CBD",2979,2807,172
1373,"Sydney CBD",2982,2735,247
212,"Sydney CBD",3138,2683,455
85,"Sydney CBD",2927,2645,282
781,"Redfern, Erskineville and Macdonaldtown",2498,2469,29
523,"Darlinghurst and Surry Hill",2835,2428,407
69,"Sydney CBD",2702,2392,310
1302,"Redfern, Erskineville and Macdonaldtown",3027,2391,636
125,"Sydney CBD",3284,2358,926
51,"Sydney CBD",2571,2269,302
50,"Sydney CBD",2765,2238,527
35,"Sydney CBD",2615,2221,394
215,"Sydney CBD",3489,2030,1459
56,"Sydney CBD",2214,2027,187
165,"Sydney CBD",2821,1997,824
91,"Sydney CBD",2562,1982,580
28,"Sydney CBD",2359,1920,439
121,"Sydney CBD",2171,1896,275
127,"Sydney CBD",2321,1839,482
628,"Redfern, Erskineville and Macdonaldtown",1965,1813,152
36,"Sydney CBD",2094,1745,349
97,"Sydney CBD",1995,1715,280
140,"Sydney CBD",2056,1705,351
98,"Sydney CBD",1990,1669,321
63,"Sydney CBD",1913,1637,276
57,"Sydney CBD",1798,1611,187
95,"Sydney CBD",2070,1608,462
74,"Sydney CBD",1963,1602,361
871,Camperdown,1859,1545,314
80,"Sydney CBD",2420,1528,892
59,"Sydney CBD",1819,1501,318
156,"Sydney CBD",1810,1492,318
564,"Darlinghurst and Surry Hill",1816,1482,334
226,"Sydney CBD",1588,1479,109
216,"Sydney CBD",1501,1403,98
361,"Moore Park",1696,1387,309
524,"Darlinghurst and Surry Hill",1772,1383,389
1155,Alexandria,1773,1337,436
158,"Sydney CBD",1501,1318,183
42,"Sydney CBD",1833,1317,516
147,"Sydney CBD",1458,1298,160
70,"Sydney CBD",1664,1296,368
64,"Sydney CBD",1365,1206,159
179,"Sydney CBD",1934,1172,762
116,"Sydney CBD",1817,1167,650
163,"Sydney CBD",1233,1135,98
307,"Pott Point",1173,1129,44
350,"Pott Point",1194,1122,72
423,"Darlinghurst and Surry Hill",1129,1112,17
530,"Darlinghurst and Surry Hill",1291,1074,217
1090,Alexandria,1357,1073,284
308,"Pott Point",1357,1071,286
33,"Sydney CBD",1285,1070,215
5,"Sydney CBD",1306,1061,245
422,"Darlinghurst and Surry Hill",1216,1059,157
1095,Alexandria,1158,1044,114
233,"Sydney CBD",1197,968,229
