blocknum,suburb,total_jobs,Total_parttime_jobs,Total_fulltime_jobs
901,Glebe,1729,1258,471
148,"Sydney CBD",1336,1086,250
88,"Sydney CBD",1182,805,377
362,"Moore Park",1369,772,597
1371,"Sydney CBD",664,490,174
21,"Sydney CBD",715,473,242
100,"Sydney CBD",567,423,144
1370,"Sydney CBD",802,417,385
144,"Sydney CBD",696,377,319
398,"Moore Park",480,300,180
403,"Darlinghurst and Surry Hill",424,299,125
401,"Darlinghurst and Surry Hill",356,271,85
139,"Sydney CBD",493,259,234
1374,"Sydney CBD",375,252,123
136,"Sydney CBD",418,250,168
132,"Sydney CBD",469,240,229
902,Glebe,423,237,186
471,"Darlinghurst and Surry Hill",314,228,86
1043,Alexandria,375,218,157
241,"Sydney CBD",374,216,158
469,"Darlinghurst and Surry Hill",404,216,188
324,"Pott Point",293,215,78
315,"Pott Point",357,212,145
82,"Sydney CBD",236,192,44
1106,Alexandria,273,173,100
433,"Darlinghurst and Surry Hill",287,170,117
1322,"Redfern, Erskineville and Macdonaldtown",237,169,68
138,"Sydney CBD",303,166,137
159,"Sydney CBD",255,163,92
1088,Alexandria,288,145,143
93,"Sydney CBD",258,144,114
320,"Pott Point",243,138,105
780,"Redfern, Erskineville and Macdonaldtown",200,138,62
468,"Darlinghurst and Surry Hill",233,138,95
1016,Alexandria,181,129,52
1060,Alexandria,183,128,55
1345,"Redfern, Erskineville and Macdonaldtown",185,126,59
911,Glebe,161,118,43
9,"Sydney CBD",224,118,106
154,"Sydney CBD",190,113,77
430,"Darlinghurst and Surry Hill",209,110,99
779,"Redfern, Erskineville and Macdonaldtown",174,108,66
402,"Darlinghurst and Surry Hill",143,108,35
52,"Sydney CBD",172,102,70
1408,"Redfern, Erskineville and Macdonaldtown",136,99,37
1253,Zetland,186,99,87
913,Glebe,169,94,75
142,"Sydney CBD",155,93,62
474,"Darlinghurst and Surry Hill",180,92,88
473,"Darlinghurst and Surry Hill",176,91,85
189,"Sydney CBD",137,88,49
1139,Alexandria,165,88,77
1039,Alexandria,131,87,44
217,"Sydney CBD",161,84,77
849,Camperdown,138,84,54
561,"Darlinghurst and Surry Hill",163,83,80
1089,Alexandria,144,80,64
718,"Redfern, Erskineville and Macdonaldtown",126,77,49
220,"Sydney CBD",149,76,73
30,"Sydney CBD",141,75,66
10,"Sydney CBD",130,74,56
740,"Redfern, Erskineville and Macdonaldtown",120,73,47
1103,Alexandria,124,67,57
550,"Darlinghurst and Surry Hill",113,67,46
318,"Pott Point",126,65,61
858,Camperdown,103,65,38
316,"Pott Point",115,64,51
698,"Redfern, Erskineville and Macdonaldtown",94,63,31
327,"Pott Point",78,59,19
1064,Alexandria,105,59,46
579,"Darlinghurst and Surry Hill",75,56,19
824,Camperdown,57,54,3
912,Glebe,94,54,40
150,"Sydney CBD",90,53,37
314,"Pott Point",87,53,34
323,"Pott Point",89,53,36
1321,"Redfern, Erskineville and Macdonaldtown",90,53,37
343,"Pott Point",91,52,39
1241,Zetland,80,51,29
551,"Darlinghurst and Surry Hill",94,50,44
679,"Redfern, Erskineville and Macdonaldtown",89,48,41
976,Glebe,67,48,19
739,"Redfern, Erskineville and Macdonaldtown",75,48,27
1058,Alexandria,89,46,43
225,"Sydney CBD",78,46,32
463,"Darlinghurst and Surry Hill",57,45,12
122,"Sydney CBD",64,44,20
303,"Pott Point",87,44,43
404,"Darlinghurst and Surry Hill",83,43,40
437,"Darlinghurst and Surry Hill",75,42,33
209,"Sydney CBD",65,41,24
747,"Redfern, Erskineville and Macdonaldtown",67,40,27
453,"Darlinghurst and Surry Hill",57,39,18
857,Camperdown,68,39,29
1217,Zetland,47,36,11
719,"Redfern, Erskineville and Macdonaldtown",64,35,29
822,Camperdown,63,34,29
727,"Redfern, Erskineville and Macdonaldtown",58,34,24
336,"Pott Point",45,33,12
982,Glebe,54,32,22
